movieId,title,year,genres,director,cast,overview,poster
1,Toy Story (1995),1995,Adventure|Animation|Children|Comedy|Fantasy,John Lasseter,Tom Hanks Tim Allen Don Rickles Jim Varney Wallace Shawn,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji (1995),1995,Adventure|Children|Fantasy,Joe Johnston,Robin Williams Kirsten Dunst Bradley Pierce Bonnie Hunt Jonathan Hyde,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",https://image.tmdb.org/t/p/w500/iWV47r6kFneCiApgrMII5HSkfHw.jpg
3,Grumpier Old Men (1995),1995,Comedy|Romance,Howard Deutch,Walter Matthau Jack Lemmon Ann-Margret Sophia Loren Daryl Hannah,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",https://image.tmdb.org/t/p/w500/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,Waiting to Exhale (1995),1995,Comedy|Drama|Romance,Forest Whitaker,Whitney Houston Angela Bassett Loretta Devine Lela Rochon Gregory Hines,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",https://image.tmdb.org/t/p/w500/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg
5,Father of the Bride Part II (1995),1995,Comedy,Charles Shyer,Steve Martin Diane Keaton Martin Short Kimberly Williams-Paisley George Newbern,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",https://image.tmdb.org/t/p/w500/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
6,Heat (1995),1995,Action|Crime|Thriller,Michael Mann,Al Pacino Robert De Niro Val Kilmer Jon Voight Tom Sizemore,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,https://image.tmdb.org/t/p/w500/e09dLw1Ljtccd2P4NsuUvVtS5du.jpg
7,Sabrina (1995),1995,Comedy|Romance,Sydney Pollack,Harrison Ford Julia Ormond Greg Kinnear Nancy Marchand John Wood,"After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter Sabrina, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved with her.",https://image.tmdb.org/t/p/w500/i8PbLJDPU7vCwwscWD625oHbJy.jpg
8,Tom and Huck (1995),1995,Adventure|Children,Peter Hewitt,Jonathan Taylor Thomas Brad Renfro Eric Schweig Charles Rocket Amy Wright,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",https://image.tmdb.org/t/p/w500/bMY31ikEOIPOHqQwhPhII8UVBln.jpg
9,Sudden Death (1995),1995,Action,Peter Hyams,Jean-Claude Van Damme Powers Boothe Raymond J. Barry Whittni Wright Ross Malinger,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,https://image.tmdb.org/t/p/w500/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
10,GoldenEye (1995),1995,Action|Adventure|Thriller,Martin Campbell,Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
